seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
456,80,66.1379,1,1,2.1281,47.14,20
456,81,37.8841,0,1,1.4401,78.30,20
456,82,41.7777,0,1,1.2395,77.03,20
456,83,74.9697,1,1,1.7225,26.72,21
456,84,60.5595,1,1,1.2569,27.62,22
456,85,54.7050,0,1,1.4020,77.75,22
456,86,25.1345,0,1,1.5192,76.64,22
456,87,44.2805,0,1,1.5998,77.78,22
456,88,19.9692,0,1,2.7705,78.13,22
456,89,-20.2236,0,1,1.5198,79.17,22
456,90,35.5885,0,1,0.9848,77.00,22
456,91,27.8487,0,1,2.5497,77.24,22
456,92,24.7221,0,1,1.8552,76.68,22
456,93,20.7191,0,1,1.2960,77.38,22
456,94,-4.9336,0,1,1.4306,78.52,22
456,95,100.2752,1,1,1.8025,70.29,23
456,96,66.7280,1,1,1.5140,18.40,24
456,97,74.3312,1,1,2.4557,48.45,25
456,98,55.1288,0,1,1.4910,77.70,25
456,99,47.2374,0,1,1.9229,78.93,25
456,100,111.6542,1,2,2.4887,57.33,26
456,101,-289.0006,0,2,2.4833,79.18,26
456,102,-315.2981,0,2,2.3389,77.10,26
456,103,-375.8524,0,2,3.6807,78.47,26
456,104,-410.2347,0,2,2.4437,77.55,26
456,105,-323.2878,0,2,3.4343,78.59,26
456,106,-392.8599,0,2,2.4117,77.28,26
456,107,-67.2584,0,2,2.4551,78.12,26
456,108,-158.8854,0,2,2.3419,77.06,26
456,109,-276.6824,0,2,5.0726,79.57,26
456,110,-494.7598,0,2,2.4473,78.45,26
456,111,-95.6712,0,2,2.0583,77.38,26
456,112,-317.9622,0,2,3.7230,77.51,26
456,113,-378.9372,0,2,2.2054,76.77,26
456,114,-413.2684,0,2,4.5027,76.63,26
456,115,-156.0092,0,2,1.4223,77.82,26
456,116,-184.5599,0,2,1.9522,77.84,26
456,117,-280.2810,0,2,1.1986,77.93,26
456,118,-115.8984,0,2,2.4764,77.16,26
456,119,-97.1396,1,2,2.7628,57.02,27
456,120,-96.9554,1,2,3.6473,66.37,28
456,121,-165.0350,0,2,3.5330,78.36,28
456,122,-222.2650,0,2,5.3208,77.12,28
456,123,-182.6835,0,2,2.8603,77.65,28
456,124,-205.3202,0,2,2.7920,76.62,28
456,125,-112.2940,0,2,2.3129,78.30,28
456,126,-273.3527,0,2,3.1243,77.28,28
456,127,-277.2127,0,2,4.1653,78.49,28
456,128,-213.0115,0,2,1.6473,76.35,28
456,129,-398.1741,0,2,5.0404,77.17,28
456,130,-183.2806,0,2,2.4632,76.37,28
456,131,26.5145,1,2,5.7752,17.10,29
456,132,-458.7319,0,2,5.1686,77.76,29
456,133,-79.3115,0,2,3.7848,77.26,29
456,134,-274.4435,0,2,3.5413,77.37,29
456,135,-42.8268,1,2,3.8344,44.67,30
456,136,14.7225,1,2,2.3081,26.78,31
456,137,-409.8245,0,2,2.1692,79.96,31
456,138,-117.2632,0,2,4.8179,78.95,31
456,139,-351.8710,0,2,4.5622,80.42,31
456,140,-160.2409,0,2,3.0629,81.11,31
456,141,-117.7544,0,2,4.0015,80.96,31
456,142,-10.4076,0,2,4.0592,81.23,31
456,143,-167.0376,0,2,3.4929,78.83,31
456,144,-90.2246,1,2,3.4829,66.86,32
456,145,-63.6031,0,2,4.9040,77.32,32
456,146,-276.1901,0,2,3.4990,77.52,32
456,147,48.8270,1,2,4.3481,11.07,33
456,148,-438.6500,0,2,4.8596,78.01,33
456,149,-194.9928,0,2,3.9100,76.78,33
456,150,-517.3312,0,3,2.0727,77.75,33
456,151,-205.2735,0,3,5.4275,76.99,33
456,152,-459.9810,0,3,5.8534,78.27,33
456,153,-27.5551,1,3,5.8173,26.94,34
456,154,-66.1522,0,3,6.5369,76.83,34
456,155,-198.3461,0,3,6.4539,78.09,34
456,156,-134.8793,0,3,3.6503,76.76,34
456,157,-181.4530,0,3,4.7314,81.87,34
456,158,-99.6760,0,3,5.9930,78.89,34
456,159,-239.2298,0,3,7.4411,78.94,34
456,160,-205.9522,0,3,5.5167,77.60,34
456,161,-140.5081,0,3,7.1424,76.41,34
456,162,-43.5000,0,3,4.5356,78.12,34
456,163,-413.1591,0,3,6.8518,75.94,34
456,164,-298.8728,0,3,4.4931,75.17,34
456,165,-281.2067,0,3,5.7106,76.40,34
456,166,-269.7986,0,3,4.5124,75.60,34
456,167,-81.2304,0,3,8.2287,77.92,34
456,168,-36.0120,1,3,2.8025,27.30,35
456,169,-93.2957,0,3,4.8871,75.76,35
456,170,-257.2683,0,3,5.8378,77.44,35
456,171,50.5746,1,3,6.0920,7.90,36
456,172,-68.9880,0,3,5.8331,77.13,36
456,173,-304.4010,0,3,6.9565,76.99,36
456,174,-192.9328,0,3,5.2802,78.32,36
456,175,-99.0641,0,3,4.3670,76.65,36
456,176,-10.9123,1,3,9.4403,55.07,37
456,177,-113.3064,0,3,2.9057,77.39,37
456,178,70.1728,1,3,5.2252,16.89,38
456,179,-92.1547,0,3,8.5785,75.72,38
456,180,-189.2346,0,3,6.1111,79.04,38
456,181,-347.0828,0,3,4.8133,78.78,38
456,182,7.7399,0,3,5.3849,76.95,38
456,183,-60.0129,0,3,6.7908,76.24,38
456,184,-96.8622,0,3,7.7534,77.93,38
456,185,-169.1528,0,3,5.1595,76.29,38
456,186,36.8234,1,3,6.3126,30.08,39
456,187,-327.0998,0,3,9.0680,78.81,39
456,188,-39.9258,0,3,7.4820,77.08,39
456,189,-13.6135,0,3,5.1230,77.56,39
456,190,-443.0525,0,3,5.8680,76.43,39
456,191,-168.6636,0,3,5.2588,78.20,39
456,192,-99.9464,0,3,4.6997,76.25,39
456,193,-78.4882,1,3,6.6320,76.26,40
456,194,-443.2239,0,3,7.2559,77.72,40
456,195,-136.5341,1,3,3.2697,47.28,41
456,196,-1.9349,1,3,5.2585,39.09,42
456,197,-134.6911,0,3,8.8638,81.52,42
456,198,-342.0445,0,3,7.1127,77.69,42
456,199,37.5793,1,3,5.1648,16.71,43
