seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
123,0,-12.3847,0,1,1.6909,120.83,0
123,1,-39.1748,0,1,2.0243,74.75,0
123,2,-19.3933,0,1,1.1642,75.95,0
123,3,-17.7970,0,1,1.7420,74.95,0
123,4,-15.0019,0,1,1.0692,75.45,0
123,5,53.8190,1,1,1.0855,6.01,1
123,6,53.8190,1,1,0.9594,5.09,2
123,7,70.2973,1,1,2.4871,12.10,3
123,8,64.4306,1,1,2.2921,12.11,4
123,9,60.4653,1,1,3.7894,10.55,5
123,10,62.0155,1,1,3.4573,8.61,6
123,11,64.9010,1,1,5.4875,13.14,7
123,12,62.3722,1,1,3.9965,10.51,8
123,13,63.0523,1,1,4.3936,13.12,9
123,14,63.0466,1,1,6.2507,11.35,10
123,15,53.9089,1,1,3.7945,5.10,11
123,16,63.9416,1,1,5.3325,11.28,12
123,17,79.4463,1,1,4.2956,30.60,13
123,18,63.5060,1,1,2.9628,10.70,14
123,19,57.8025,1,1,4.1138,8.48,15
123,20,62.4956,1,1,5.4627,9.54,16
123,21,61.0818,1,1,5.8690,9.58,17
123,22,64.2215,1,1,4.7669,9.67,18
123,23,64.0132,1,1,6.9189,12.21,19
123,24,53.4122,1,1,6.1992,6.22,20
123,25,61.6190,1,1,4.7328,10.68,21
123,26,61.5379,1,1,6.3794,9.07,22
123,27,69.2783,1,1,4.1451,21.89,23
123,28,62.0912,1,1,7.0728,10.43,24
123,29,53.1190,1,1,6.6885,5.81,25
123,30,62.8235,1,1,10.9925,13.10,26
123,31,61.9707,1,1,7.0191,9.73,27
123,32,60.8995,1,1,8.2732,11.61,28
123,33,65.2956,1,1,5.4668,12.07,29
123,34,62.3232,1,1,3.3862,10.35,30
123,35,57.3120,1,1,6.3983,5.07,31
123,36,63.5486,1,1,7.2581,11.41,32
123,37,63.9629,1,1,6.5680,12.23,33
123,38,60.3835,1,1,8.1916,10.40,34
123,39,62.2357,1,1,5.5270,10.48,35
