seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
123,40,63.9634,1,1,7.4221,9.27,36
123,41,61.2638,1,1,6.9439,11.52,37
123,42,69.2160,1,1,10.0478,11.35,38
123,43,69.2733,1,1,7.7803,11.76,39
123,44,64.7411,1,1,7.2767,10.52,40
123,45,53.1190,1,1,7.7018,6.08,41
123,46,63.5021,1,1,8.9133,11.84,42
123,47,61.8660,1,1,10.1068,8.00,43
123,48,53.6157,1,1,4.0716,5.85,44
123,49,64.2830,1,1,9.5887,8.77,45
123,50,68.8018,1,1,4.7507,20.94,46
123,51,84.1893,1,1,4.9684,28.68,47
123,52,53.8190,1,1,8.9690,5.05,48
123,53,63.3273,1,1,8.7102,11.30,49
123,54,68.3279,1,1,6.6683,10.25,50
123,55,69.5456,1,1,7.4305,21.58,51
123,56,62.3136,1,1,5.4739,10.43,52
123,57,67.2653,1,1,8.4789,10.01,53
123,58,64.9930,1,1,8.5374,11.28,54
123,59,54.0241,1,1,4.3856,5.88,55
123,60,56.3033,1,1,7.2311,20.50,56
123,61,54.4030,1,1,11.3764,6.09,57
123,62,61.4687,1,1,10.3285,9.50,58
123,63,60.3663,1,1,5.3662,7.74,59
123,64,64.4959,1,1,8.4137,11.90,60
123,65,63.0372,1,1,6.4549,11.91,61
123,66,61.3859,1,1,7.8918,10.06,62
123,67,57.4127,1,1,8.7647,10.14,63
123,68,63.7363,1,1,6.1368,11.23,64
123,69,53.1190,1,1,8.2537,4.97,65
123,70,64.2831,1,1,5.6305,10.23,66
123,71,61.5370,1,1,5.5462,10.34,67
123,72,64.7898,1,1,8.0121,10.42,68
123,73,69.3983,1,1,10.2043,10.83,69
123,74,62.4775,1,1,6.0572,10.48,70
123,75,63.4478,1,1,8.6651,10.39,71
123,76,66.1867,1,1,5.1177,20.48,72
123,77,63.4382,1,1,10.6640,9.53,73
123,78,53.6157,1,1,5.1452,4.94,74
123,79,61.4689,1,1,7.7067,11.17,75
123,80,63.4384,1,1,8.6240,9.50,76
123,81,55.5125,1,1,3.4866,4.99,77
123,82,69.0851,1,1,6.0339,22.44,78
123,83,62.7905,1,1,7.0058,10.34,79
123,84,64.9127,1,1,8.5997,10.38,80
123,85,64.5073,1,1,6.1485,13.23,81
123,86,61.8801,1,1,6.9263,11.29,82
123,87,63.4294,1,1,4.6177,12.16,83
123,88,75.6469,1,1,6.4857,31.29,84
123,89,65.9589,1,1,9.0569,11.36,85
123,90,62.7735,1,1,6.1013,9.57,86
123,91,59.9299,1,1,9.6548,15.24,87
123,92,61.3523,1,1,8.4390,9.34,88
123,93,53.4122,1,1,6.6828,6.00,89
123,94,89.8464,1,1,5.0792,43.10,90
123,95,65.6727,1,1,7.5341,21.25,91
123,96,63.5099,1,1,6.4376,10.49,92
123,97,64.2262,1,1,5.8747,12.50,93
123,98,62.3768,1,1,6.6394,9.76,94
123,99,65.7863,1,1,4.3326,12.03,95
123,100,53.4122,1,2,6.5805,6.10,96
123,101,2.4193,1,2,3.5742,11.10,97
123,102,52.3776,1,2,10.0457,12.82,98
123,103,29.0862,1,2,4.9016,40.78,99
123,104,54.5191,1,2,5.3315,6.18,100
123,105,22.5491,1,2,9.4983,30.57,101
123,106,34.4518,1,2,7.8962,9.40,102
123,107,46.8789,1,2,6.6826,22.16,103
123,108,69.4675,1,2,7.2838,10.85,104
123,109,25.4088,1,2,2.4432,12.52,105
123,110,43.7032,1,2,4.7759,53.48,106
123,111,38.7232,1,2,6.8171,10.81,107
123,112,37.9270,1,2,6.3259,11.46,108
123,113,78.0208,1,2,5.5145,31.46,109
123,114,51.6829,1,2,6.6217,11.25,110
123,115,-169.1959,0,2,9.3006,77.43,110
123,116,6.1601,0,2,3.1042,75.65,110
123,117,41.1806,1,2,7.1030,11.33,111
123,118,-29.0156,1,2,5.4174,31.65,112
123,119,71.4981,1,2,3.2463,11.28,113
123,120,48.1910,1,2,6.9785,9.63,114
123,121,18.2953,1,2,6.2725,9.65,115
123,122,34.9258,1,2,8.3150,10.74,116
123,123,34.7755,1,2,6.2923,12.32,117
123,124,18.2299,1,2,7.4397,10.50,118
123,125,-15.1738,1,2,6.2251,20.24,119
123,126,12.8228,1,2,6.5884,21.87,120
123,127,2.9509,1,2,7.6912,9.44,121
123,128,17.9657,1,2,6.9961,10.60,122
123,129,62.2730,1,2,5.2887,13.25,123
123,130,53.9167,1,2,5.7357,10.48,124
123,131,38.9077,1,2,5.9436,10.97,125
123,132,64.0070,1,2,7.1246,22.18,126
123,133,35.2036,1,2,10.9070,11.51,127
123,134,13.7445,1,2,8.6543,12.19,128
123,135,31.5105,1,2,9.4739,9.85,129
123,136,35.9534,1,2,5.8847,9.11,130
123,137,23.2357,1,2,5.2191,11.34,131
123,138,20.9558,1,2,7.7001,11.30,132
123,139,69.7280,1,2,8.0535,21.75,133
123,140,3.6557,1,2,4.7308,34.62,134
123,141,25.7601,1,2,9.5832,20.90,135
123,142,35.9072,1,2,5.0560,13.10,136
123,143,16.5685,1,2,6.8947,19.83,137
123,144,54.7648,1,2,8.6785,14.94,138
123,145,-55.7577,1,2,7.6430,21.91,139
123,146,37.7325,1,2,9.0256,10.82,140
123,147,73.5803,1,2,9.9849,20.12,141
123,148,-41.6953,1,2,12.2437,42.19,142
123,149,43.0077,1,2,6.3442,31.60,143
123,150,13.6552,1,3,6.4337,39.95,144
123,151,-168.1558,0,3,4.1987,75.87,144
123,152,36.8446,1,3,7.4311,14.61,145
123,153,48.5516,1,3,8.4604,15.49,146
123,154,53.5482,1,3,6.9030,6.78,147
123,155,90.6585,1,3,9.0969,31.73,148
123,156,-150.6662,0,3,6.1247,74.53,148
123,157,50.5682,1,3,10.8903,13.22,149
123,158,30.7045,1,3,8.0513,20.86,150
123,159,-183.1130,0,3,8.8669,75.14,150
123,160,-70.0721,1,3,8.8105,30.44,151
123,161,43.6619,1,3,5.3229,11.14,152
123,162,15.3838,1,3,6.5506,40.47,153
123,163,65.8059,1,3,5.6316,10.61,154
123,164,61.9930,1,3,8.7291,8.62,155
123,165,-370.4140,0,3,7.2673,74.05,155
123,166,-59.1173,1,3,3.5307,36.50,156
123,167,-9.1822,1,3,9.4669,20.94,157
123,168,-93.4580,1,3,6.7129,39.03,158
123,169,50.9948,1,3,6.7618,11.32,159
123,170,54.0241,1,3,8.8279,5.34,160
123,171,83.2956,1,3,10.1796,42.95,161
123,172,2.8345,1,3,8.1129,24.84,162
123,173,-17.1195,1,3,4.5019,13.13,163
123,174,7.7385,1,3,11.4656,11.42,164
123,175,65.4460,1,3,2.7961,17.59,165
123,176,54.5191,1,3,10.2247,5.12,166
123,177,34.9931,1,3,7.5930,10.39,167
123,178,64.4136,1,3,5.1873,10.40,168
123,179,56.8850,1,3,8.0210,6.72,169
123,180,51.4603,1,3,6.5764,10.32,170
123,181,-343.3595,0,3,5.1193,74.93,170
123,182,66.4309,1,3,8.5304,12.11,171
123,183,2.5135,1,3,10.6828,22.57,172
123,184,91.9357,1,3,9.3996,33.29,173
123,185,-40.1474,1,3,11.3241,44.37,174
123,186,28.7120,1,3,7.5141,44.83,175
123,187,26.4092,1,3,8.0072,12.06,176
123,188,-26.0118,1,3,7.6708,24.95,177
123,189,38.1808,1,3,4.5036,12.00,178
123,190,10.1560,1,3,6.8630,19.49,179
123,191,-88.6094,1,3,7.6276,35.58,180
123,192,23.4615,1,3,8.6776,11.30,181
123,193,-38.8312,1,3,7.0195,45.80,182
123,194,-42.9857,0,3,7.0728,74.34,182
123,195,-626.0025,0,3,4.7521,74.99,182
123,196,-251.0129,0,3,9.5977,75.28,182
123,197,34.7116,1,3,4.7056,12.21,183
123,198,-210.2431,1,3,8.5097,53.99,184
123,199,-56.6687,0,3,9.1318,74.58,184
