seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
42,0,39.9897,0,1,3.1714,82.07,0
42,1,54.3423,0,1,3.0886,80.55,0
42,2,20.4117,0,1,2.0827,81.88,0
42,3,1.0777,0,1,2.5920,82.15,0
42,4,-10.1165,0,1,1.8913,80.67,0
42,5,25.7242,0,1,3.3312,81.63,0
42,6,53.8190,1,1,0.0000,70.52,1
42,7,64.4035,1,1,0.0000,9.35,2
42,8,64.9481,1,1,0.0000,11.02,3
42,9,54.5191,1,1,0.0000,5.26,4
42,10,64.8157,1,1,0.0000,9.74,5
42,11,61.5549,1,1,0.0000,8.24,6
42,12,53.0341,1,1,0.0000,4.66,7
42,13,61.2097,1,1,15.5219,9.65,8
42,14,62.0584,1,1,17.1877,9.08,9
42,15,60.9873,1,1,18.5851,6.90,10
42,16,53.1190,1,1,12.0549,4.60,11
42,17,64.2263,1,1,10.8112,11.34,12
42,18,53.5291,1,1,18.3156,4.96,13
42,19,53.6157,1,1,15.1411,5.64,14
42,20,54.0241,1,1,15.8562,4.63,15
42,21,68.6972,1,1,17.2224,12.21,16
42,22,53.4122,1,1,18.9481,4.63,17
42,23,61.5340,1,1,12.3436,9.60,18
42,24,64.3013,1,1,16.6113,13.70,19
42,25,63.4211,1,1,15.7444,10.23,20
42,26,60.0823,1,1,16.0448,7.11,21
42,27,66.4021,1,1,16.7168,11.45,22
42,28,61.3635,1,1,11.7486,9.03,23
42,29,54.0241,1,1,11.7984,4.67,24
42,30,58.0664,1,1,8.8918,9.97,25
42,31,53.9089,1,1,13.8640,4.69,26
42,32,62.2322,1,1,14.7250,10.57,27
42,33,53.4122,1,1,5.0615,4.66,28
42,34,85.5059,1,1,12.9897,30.01,29
42,35,62.1571,1,1,11.3573,11.38,30
42,36,53.8190,1,1,16.2964,4.66,31
42,37,53.5291,1,1,12.8479,5.74,32
42,38,62.7324,1,1,10.0801,8.68,33
42,39,58.3226,1,1,11.3994,8.18,34
42,40,65.9443,1,1,12.3595,11.45,35
42,41,64.2060,1,1,16.8333,10.77,36
42,42,57.8474,1,1,14.0910,10.69,37
42,43,63.9244,1,1,10.8367,11.34,38
42,44,60.9379,1,1,10.0724,11.46,39
42,45,65.1992,1,1,10.8735,11.38,40
42,46,69.5084,1,1,11.8060,10.36,41
42,47,63.7343,1,1,11.0219,29.88,42
42,48,63.4553,1,1,19.3927,9.73,43
42,49,54.5191,1,1,8.1532,5.66,44
42,50,59.8218,1,1,7.5475,7.95,45
42,51,62.9050,1,1,10.2379,9.75,46
42,52,62.9255,1,1,11.6614,10.18,47
42,53,53.4122,1,1,10.6355,4.88,48
42,54,64.4346,1,1,10.4954,12.00,49
42,55,63.3436,1,1,9.6781,9.69,50
42,56,53.1190,1,1,12.8973,5.26,51
42,57,64.2252,1,1,14.8768,8.99,52
42,58,53.6157,1,1,6.6375,5.19,53
42,59,69.9161,1,1,6.1563,10.02,54
42,60,64.7784,1,1,11.4706,8.83,55
42,61,53.4122,1,1,9.8666,5.34,56
42,62,64.6919,1,1,13.6647,9.63,57
42,63,53.0341,1,1,5.4767,5.70,58
42,64,61.1587,1,1,7.4826,9.26,59
42,65,61.5107,1,1,12.0472,9.72,60
42,66,63.3720,1,1,12.7865,10.51,61
42,67,63.4469,1,1,6.0431,8.57,62
42,68,62.4481,1,1,5.1336,9.37,63
42,69,65.7310,1,1,11.8592,11.52,64
42,70,62.5482,1,1,15.5187,9.05,65
42,71,64.2628,1,1,14.9504,9.98,66
42,72,65.6964,1,1,14.7470,11.28,67
42,73,57.7282,1,1,8.1078,8.68,68
42,74,62.0569,1,1,7.9942,8.04,69
42,75,64.7336,1,1,10.2225,11.45,70
42,76,54.0241,1,1,15.1268,4.67,71
42,77,62.8073,1,1,8.9790,11.37,72
42,78,62.7613,1,1,12.4024,8.91,73
42,79,72.0715,1,1,9.2247,28.92,74
42,80,63.8503,1,1,7.0274,9.76,75
42,81,64.4896,1,1,8.6100,10.15,76
42,82,63.4824,1,1,13.5528,10.51,77
42,83,61.2763,1,1,6.0965,11.23,78
42,84,64.6942,1,1,7.8804,8.45,79
42,85,64.9197,1,1,8.0258,12.00,80
42,86,64.4166,1,1,10.4090,10.43,81
42,87,64.4724,1,1,6.2931,11.20,82
42,88,54.0241,1,1,5.9165,4.60,83
42,89,62.4800,1,1,9.7824,10.43,84
42,90,62.0426,1,1,9.5915,9.41,85
42,91,53.9089,1,1,5.9329,5.48,86
42,92,53.6157,1,1,9.9010,4.58,87
42,93,53.9089,1,1,8.8635,5.10,88
42,94,59.9105,1,1,6.9449,9.12,89
42,95,54.0241,1,1,7.2965,5.13,90
42,96,65.1995,1,1,10.4295,11.68,91
