ablation,seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
No_GAR,123,0,64.8301,1,1,0.0000,53.64,1
No_GAR,123,1,15.4655,0,1,4.4283,60.47,1
No_GAR,123,2,54.0899,1,1,4.4660,17.82,2
No_GAR,123,3,63.9174,1,1,6.1716,10.10,3
No_GAR,123,4,63.9738,1,1,9.9423,8.63,4
No_GAR,123,5,71.6612,1,1,5.9716,17.26,5
No_GAR,123,6,62.9586,1,1,5.9230,7.85,6
No_GAR,123,7,63.0720,1,1,10.4195,9.82,7
No_GAR,123,8,61.4091,1,1,9.8148,8.74,8
No_GAR,123,9,65.4632,1,1,8.3916,9.32,9
No_GAR,123,10,62.9739,1,1,8.8141,9.15,10
No_GAR,123,11,65.8102,1,1,6.5693,8.71,11
No_GAR,123,12,54.6230,1,1,9.3597,3.45,12
No_GAR,123,13,62.9734,1,1,7.5501,8.38,13
No_GAR,123,14,64.1857,1,1,13.3170,8.64,14
No_GAR,123,15,71.6781,1,1,8.3577,25.30,15
No_GAR,123,16,63.3058,1,1,13.3358,10.17,16
No_GAR,123,17,60.9057,1,1,11.2343,8.29,17
No_GAR,123,18,63.8814,1,1,12.3533,10.07,18
No_GAR,123,19,64.3312,1,1,6.2692,10.12,19
No_GAR,123,20,60.2969,1,1,8.3435,8.39,20
No_GAR,123,21,30.4826,0,1,9.5445,61.92,20
No_GAR,123,22,64.2255,1,1,8.9305,8.62,21
No_GAR,123,23,62.8902,1,1,7.1239,9.10,22
No_GAR,123,24,62.3085,1,1,8.2129,9.36,23
No_GAR,123,25,56.7726,1,1,12.1391,10.41,24
No_GAR,123,26,62.9185,1,1,10.8191,8.83,25
No_GAR,123,27,54.3701,1,1,9.4588,10.15,26
No_GAR,123,28,64.3110,0,1,7.8105,61.06,26
No_GAR,123,29,37.2007,0,1,6.6870,62.12,26
No_GAR,123,30,76.5127,1,1,10.0755,18.05,27
No_GAR,123,31,62.0078,1,1,9.1511,9.51,28
No_GAR,123,32,64.4226,1,1,6.9430,9.29,29
No_GAR,123,33,45.8848,1,1,7.7255,23.91,30
No_GAR,123,34,57.1627,1,1,9.1490,8.83,31
No_GAR,123,35,53.5534,1,1,6.8996,9.24,32
No_GAR,123,36,63.4327,1,1,9.2489,9.94,33
No_GAR,123,37,55.8886,1,1,7.6843,3.39,34
No_GAR,123,38,64.8676,1,1,10.2069,10.16,35
No_GAR,123,39,58.8085,1,1,6.7289,8.73,36
No_GAR,123,40,64.8421,1,1,5.6672,7.68,37
No_GAR,123,41,60.3735,1,1,3.8131,11.52,38
No_GAR,123,42,62.3452,1,1,9.7684,9.38,39
No_GAR,123,43,61.8340,1,1,10.4078,6.95,40
No_GAR,123,44,56.9840,1,1,5.6546,9.42,41
No_GAR,123,45,56.4116,1,1,8.3323,9.33,42
No_GAR,123,46,61.5227,1,1,7.7346,8.48,43
No_GAR,123,47,61.0558,1,1,5.9812,8.81,44
