ablation,seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
No_SDM,456,0,-226.9665,0,1,4.7598,68.96,0
No_SDM,456,1,-32.3535,1,1,7.3911,29.87,1
No_SDM,456,2,-145.3174,0,1,7.0992,65.47,1
No_SDM,456,3,-200.1461,0,1,3.5139,66.79,1
No_SDM,456,4,-151.4946,0,1,1.9419,66.79,1
No_SDM,456,5,-147.4098,0,1,1.3777,66.50,1
No_SDM,456,6,-151.9946,0,1,1.4751,66.53,1
No_SDM,456,7,-144.4757,0,1,2.1520,65.50,1
No_SDM,456,8,-151.9946,0,1,2.1355,66.34,1
No_SDM,456,9,-144.4802,0,1,1.4938,66.54,1
No_SDM,456,10,-151.9946,0,1,1.2974,66.49,1
No_SDM,456,11,-151.9946,0,1,1.6372,66.27,1
No_SDM,456,12,-144.4757,0,1,0.5721,65.64,1
No_SDM,456,13,-137.2409,0,1,1.8892,66.22,1
No_SDM,456,14,-157.4128,0,1,0.9955,66.44,1
No_SDM,456,15,-151.9946,0,1,1.8422,66.58,1
No_SDM,456,16,-185.6732,0,1,0.8282,65.68,1
No_SDM,456,17,-151.9946,0,1,1.3243,65.97,1
No_SDM,456,18,-151.9946,0,1,0.9358,66.53,1
No_SDM,456,19,-151.5005,0,1,1.4137,66.33,1
No_SDM,456,20,-151.9946,0,1,1.9440,66.42,1
No_SDM,456,21,-240.1161,0,1,6.6055,103.58,1
No_SDM,456,22,-58.7757,1,1,6.1993,29.59,2
No_SDM,456,23,-236.1465,0,1,5.6081,51.44,2
No_SDM,456,24,-73.9063,0,1,1.3810,52.94,2
No_SDM,456,25,-151.9946,0,1,2.3809,52.61,2
No_SDM,456,26,-144.4714,0,1,1.4602,52.12,2
No_SDM,456,27,-148.5017,0,1,1.3311,54.71,2
No_SDM,456,28,-151.9946,0,1,1.3639,54.98,2
No_SDM,456,29,-152.4909,0,1,0.8269,52.58,2
No_SDM,456,30,-151.9946,0,1,1.0638,52.72,2
