ablation,seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
No_GAR,42,0,-44.3207,0,1,1.1314,117.38,0
No_GAR,42,1,52.0605,0,1,2.5076,57.83,0
No_GAR,42,2,-19.3809,0,1,1.4730,57.08,0
No_GAR,42,3,7.6512,0,1,2.5274,57.44,0
No_GAR,42,4,54.3756,1,1,0.8934,3.87,1
No_GAR,42,5,45.6229,0,1,2.6298,57.60,1
No_GAR,42,6,53.0880,1,1,2.4677,4.95,2
No_GAR,42,7,53.9959,1,1,2.8218,3.91,3
No_GAR,42,8,54.5054,1,1,1.5871,3.85,4
No_GAR,42,9,53.8796,1,1,3.9173,4.42,5
No_GAR,42,10,53.8678,1,1,3.2272,4.41,6
No_GAR,42,11,62.2647,1,1,5.9270,8.82,7
No_GAR,42,12,69.1767,1,1,4.4626,9.15,8
No_GAR,42,13,55.7398,1,1,1.8223,4.93,9
No_GAR,42,14,53.5098,1,1,5.6390,4.53,10
No_GAR,42,15,53.8900,1,1,3.6238,3.86,11
No_GAR,42,16,53.8699,1,1,4.7017,3.84,12
No_GAR,42,17,53.4793,1,1,5.0528,4.95,13
No_GAR,42,18,59.7847,1,1,6.2547,9.11,14
No_GAR,42,19,60.7759,1,1,7.0390,10.24,15
No_GAR,42,20,60.4319,1,1,4.4342,10.87,16
No_GAR,42,21,52.9951,1,1,3.2179,3.87,17
No_GAR,42,22,53.8700,1,1,5.9107,4.15,18
No_GAR,42,23,63.4682,1,1,4.7061,9.18,19
No_GAR,42,24,53.7978,1,1,6.6482,3.81,20
No_GAR,42,25,68.3646,1,1,8.2505,8.82,21
No_GAR,42,26,61.3083,1,1,7.8036,9.53,22
No_GAR,42,27,62.8838,1,1,3.9708,7.80,23
No_GAR,42,28,31.8300,0,1,4.9335,57.41,23
No_GAR,42,29,61.2932,1,1,7.0221,9.52,24
No_GAR,42,30,54.4762,1,1,6.6057,3.87,25
No_GAR,42,31,54.3683,1,1,6.4027,4.94,26
No_GAR,42,32,53.8590,1,1,7.3542,3.81,27
No_GAR,42,33,54.4840,1,1,8.2895,3.82,28
No_GAR,42,34,62.2791,1,1,6.2648,8.25,29
No_GAR,42,35,65.3735,1,1,7.2851,7.75,30
No_GAR,42,36,55.4816,1,1,9.9714,4.93,31
No_GAR,42,37,54.2274,1,1,3.1175,5.13,32
No_GAR,42,38,53.8815,1,1,6.5508,3.88,33
No_GAR,42,39,53.0003,1,1,7.0565,5.57,34
No_GAR,42,40,69.0901,1,1,6.1347,17.37,35
No_GAR,42,41,52.2377,1,1,9.4140,4.49,36
No_GAR,42,42,54.4878,1,1,5.4487,4.88,37
No_GAR,42,43,54.3669,1,1,10.8880,3.83,38
No_GAR,42,44,53.8662,1,1,2.7409,3.84,39
No_GAR,42,45,51.0387,1,1,6.8672,4.51,40
No_GAR,42,46,65.4493,1,1,7.0269,8.87,41
No_GAR,42,47,54.7729,1,1,5.9592,4.31,42
No_GAR,42,48,62.3255,1,1,6.2311,9.07,43
No_GAR,42,49,64.9042,1,1,7.8188,9.48,44
No_GAR,42,50,64.2326,1,2,6.8911,7.75,45
No_GAR,42,51,65.8491,1,2,7.9386,8.83,46
No_GAR,42,52,70.6300,1,2,4.7242,12.16,47
No_GAR,42,53,86.9794,1,2,10.0887,16.83,48
No_GAR,42,54,-237.7820,0,2,7.9369,57.44,48
No_GAR,42,55,-16.5001,1,2,7.8936,23.74,49
No_GAR,42,56,77.0131,1,2,6.2208,11.49,50
No_GAR,42,57,94.7004,1,2,9.0645,26.12,51
No_GAR,42,58,39.8931,1,2,5.5971,7.35,52
No_GAR,42,59,69.4208,0,2,10.9668,57.54,52
No_GAR,42,60,55.7426,1,2,5.2975,5.51,53
No_GAR,42,61,54.7807,1,2,9.2660,3.96,54
No_GAR,42,62,54.2870,1,2,11.4734,3.84,55
No_GAR,42,63,59.6690,1,2,7.9726,7.51,56
No_GAR,42,64,60.2696,1,2,6.0151,4.50,57
No_GAR,42,65,67.7803,1,2,6.7728,8.84,58
No_GAR,42,66,-28.7612,1,2,5.4885,24.06,59
No_GAR,42,67,-464.9069,0,2,8.9832,57.65,59
No_GAR,42,68,37.8741,1,2,14.4792,53.28,60
No_GAR,42,69,54.2712,1,2,8.1610,4.90,61
No_GAR,42,70,55.4724,1,2,7.8796,3.83,62
No_GAR,42,71,54.7948,1,2,9.1161,3.82,63
No_GAR,42,72,52.6150,1,2,6.1215,10.19,64
No_GAR,42,73,66.5220,1,2,8.8342,30.11,65
No_GAR,42,74,71.5494,1,2,8.9631,9.43,66
No_GAR,42,75,60.9047,1,3,4.2469,7.77,67
No_GAR,42,76,-43.3786,0,3,11.4656,57.64,67
No_GAR,42,77,-380.9853,0,3,10.9752,57.52,67
No_GAR,42,78,-325.8221,0,3,11.5155,57.26,67
No_GAR,42,79,-31.4088,0,3,8.3496,57.29,67
No_GAR,42,80,36.0494,1,3,10.8856,25.01,68
No_GAR,42,81,-34.5669,1,3,9.2963,16.86,69
No_GAR,42,82,3.4549,1,3,5.4407,8.91,70
No_GAR,42,83,-29.4499,0,3,5.8840,58.17,70
No_GAR,42,84,61.3671,1,3,4.0783,23.30,71
No_GAR,42,85,45.8592,1,3,7.2484,8.81,72
No_GAR,42,86,-19.5734,1,3,11.2391,24.96,73
No_GAR,42,87,73.2204,1,3,5.9566,11.04,74
No_GAR,42,88,36.2524,1,3,8.9424,8.82,75
